name_csc,name_lit,ra_csc,dec_csc,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,gal_b,gal_l,extent_flag,conf_flag,pileup_flag,var_flag,streak_src_flag,sat_src_flag,man_add_flag,man_inc_flag,man_reg_flag,man_match_flag,man_pos_flag,var_inter_hard_flag,significance,flux_aper90_avg_b,flux_aper90_avg_h,flux_aper90_avg_m,flux_aper90_avg_s,lum_aper90_avg_b,lum_aper90_avg_h,lum_aper90_avg_m,lum_aper90_avg_s,hard_hm,hard_hs,hard_ms,var_intra_prob_b,var_inter_prob_b,d2d_csc,RAJ2000,DEJ2000,PU,Class,Subclass,Reference,Cluster,HST_Counterpart,RAJ2000_HST,DEJ2000_HST,APP_DISTANCE_MOD,HELIO_DISTANCE,REDDENING,F140LP,F165LP,F220W,F225W,F250W,F25QTZ,F25CN270,F275W,F300X,F300W,F330W,F336W,F342W,F390W,F435W,F438W,F439W,F555W,F606W,F625W,F656N,F658N,F814W,F140LP_abs,F165LP_abs,F220W_abs,F225W_abs,F250W_abs,F25QTZ_abs,F25CN270_abs,F275W_abs,F300X_abs,F300W_abs,F330W_abs,F336W_abs,F342W_abs,F390W_abs,F435W_abs,F438W_abs,F439W_abs,F555W_abs,F606W_abs,F625W_abs,F656N_abs,F658N_abs,F814W_abs,F555W-F814W,F555W-F625W,F435W-F555W,F336W-F555W,F336W-F625W,F336W-F658N,F625W-F658N,F140LP_Instrument,F165LP_Instrument,F220W_Instrument,F225W_Instrument,F250W_Instrument,F25QTZ_Instrument,F25CN270_Instrument,F275W_Instrument,F300X_Instrument,F300W_Instrument,F330W_Instrument,F336W_Instrument,F342W_Instrument,F390W_Instrument,F435W_Instrument,F438W_Instrument,F439W_Instrument,F555W_Instrument,F606W_Instrument,F625W_Instrument,F656N_Instrument,F658N_Instrument,F814W_Instrument,F140LP_GO,F165LP_GO,F220W_GO,F225W_GO,F250W_GO,F25QTZ_GO,F25CN270_GO,F275W_GO,F300X_GO,F300W_GO,F330W_GO,F336W_GO,F342W_GO,F390W_GO,F435W_GO,F438W_GO,F439W_GO,F555W_GO,F606W_GO,F625W_GO,F656N_GO,F658N_GO,F814W_GO,ATNF,PSRJ,pulsar_name_zhao2022,gc_name_zhao2022,zhao2022_table,P0,P1,Reference_atnf,CXOU_maveric,errc_maveric,RAJ2000_maveric,DEJ2000_maveric,d2d_csc_maveric,maveric_flag,idx_hugs,d2d_hugs,Star_ID,RAJ2000_HUGS,DEJ2000_HUGS,F275W_HUGS,F336W_HUGS,F438W_HUGS,F606W_HUGS,F814W_HUGS,F275W_HUGS_abs,F336W_HUGS_abs,F438W_HUGS_abs,F606W_HUGS_abs,F814W_HUGS_abs,F275W-F336W_HUGS,F275W-F438W_HUGS,F275W-F606W_HUGS,F275W-F814W_HUGS,F336W-F438W_HUGS,F336W-F606W_HUGS,F336W-F814W_HUGS,F438W-F606W_HUGS,F438W-F814W_HUGS,F606W-F814W_HUGS,F275W_delta,F336W_delta,F438W_delta,F606W_delta,F814W_delta,Star_ID_old,HUGS_Counterpart,flux_aper90_avg_lolim_b,flux_aper90_avg_hilim_b,flux_aper90_avg_lolim_h,flux_aper90_avg_hilim_h,flux_aper90_avg_lolim_m,flux_aper90_avg_hilim_m,flux_aper90_avg_lolim_s,flux_aper90_avg_hilim_s,flux_aper90_avg_mean_s,e_flux_aper90_avg_mean_s,flux_aper90_avg_mean_m,e_flux_aper90_avg_mean_m,flux_aper90_avg_mean_h,e_flux_aper90_avg_mean_h,flux_aper90_avg_mean_b,e_flux_aper90_avg_mean_b
2CXO J002416.7-720447,233,6.069922717626184,-72.07973766862155,0.7409834961724028,0.7286285409805537,61.22300837002058,-44.892982,305.875247,0,0,0,0,0,0,0,0,0,0,0,1,3.4736842105264927,2.0477868567519003e-16,,5.7146811833798e-17,1.531451411358e-16,4.96262531124732e+29,,1.3849010404985384e+29,3.711333292277021e+29,-0.089943785134291,-0.73329169269207,-0.6208619612742,0.60108588685779,0.01564656394688,0.1769386600749734,6.069779166666667,-72.07971611111111,0.5,AB,BYDra,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.068682916666666,-72.0797236111111,13.37,4.5,0.04,,,,,,,,,,,,17.972000122070312,,,,,,17.479000091552734,,,,,16.756999969482422,,,,,,,,,,,,4.705937553193596,,,,,,4.212937522676018,,,,,3.4909374006057057,0.7220001220703125,,,0.4930000305175781,,,,,,,,,,,,,,,"WFPC2,1,F336W,cont#51367",,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,,,8267.0,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1.4370434082469e-16,2.6226042200506e-16,,,2.943926670226e-17,8.4854356965337e-17,1.0975401781399001e-16,1.9398384543868002e-16,1.5110860540789617e-16,4.2123682410092854e-17,5.71468118337988e-17,2.77075451315385e-17,,,2.019121988035705e-16,5.929038266205853e-17
2CXO J002408.5-720535,262,6.0358474238536814,-72.09310510845216,0.7186613217972196,0.7140192293449056,5.082192971615456,-44.878204,305.887066,0,0,0,0,0,0,0,0,0,0,0,1,8.394978056748426,1.2297927438454e-15,2.6230510011129004e-16,3.5243490823509e-16,6.169177350321101e-16,2.980290931193765e+30,6.356725675768219e+29,8.540939651057077e+29,1.4950440553582654e+30,-0.46470955652717,-0.77076826983136,-0.46346033728919,0.66809624936351,0.9169695140840152,0.1800863155775222,6.035695833333333,-72.09308694444444,0.5,AB,Ecl. Bin.,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.034565,-72.09305666666666,13.37,4.5,0.04,,,,,,,,,,,,17.79800033569336,,,,,,17.128999710083008,,,,,16.35099983215332,,,,,,,,,,,,4.531937766816643,,,,,,3.862937141206292,,,,,3.084937263276604,0.7779998779296875,,,0.6690006256103516,,,,,,,,,,,,,,,"WFPC2,1,F336W,cont#51367",,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,,,8267.0,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,75046.0,0.0648317676152467,R0004653,6.035775,-72.093089,18.8739,17.7059,17.8457,16.9638,16.3498,5.607837431123283,4.439837431123284,4.579637431123285,3.697737431123283,3.083737431123282,1.1679999999999993,1.0281999999999982,1.9101,2.5241000000000007,-0.139800000000001,0.7421000000000006,1.3561000000000014,0.8819000000000017,1.4959000000000024,0.6140000000000008,,0.0921003356933596,,,0.0011998321533219,R0004653,yes,1.0726189822322001e-15,1.3764882546843e-15,1.3115255005565e-16,3.8655488437454004e-16,2.6827134805955e-16,4.3133824589967e-16,5.215049836474e-16,7.063671894552801e-16,6.121597124550146e-16,9.245291065284659e-17,3.4823785790720734e-16,8.155268552901163e-17,2.567974898587039e-16,1.2772231776349257e-16,1.2214323093283654e-15,1.5197559713419564e-16
2CXO J002407.7-720554,414,6.03212957449,-72.09832075152094,0.7769919257725674,0.767246701098586,27.9404061470579,-44.872876,305.887562,0,0,0,0,0,0,0,0,0,0,0,1,3.6666666666664818,,,,1.0634979987528001e-16,,,,2.5772907320260925e+29,-0.99937539038101,-0.99937539038101,-0.62211118051218,0.6315375132034,0.5958398826849101,0.1807142292102969,6.031995833333332,-72.09829194444444,0.5,AB,BYDra,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.030852083333333,-72.09825083333332,13.37,4.5,0.04,,,,,,,,,,,,22.85400009155273,,,,,,20.74300003051757,,,,,19.472999572753903,,,,,,,,,,,,9.587937522676018,,,,,,7.476937461640862,,,,,6.20693700387719,1.270000457763672,,,2.111000061035156,,,,,,,,,,,,,,,"WFPC2,1,F336W,cont#51367",,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,,,8267.0,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,60019.0,0.0494887706482911,R0060076,6.03209,-72.09829,25.695,22.8175,22.0376,20.6151,19.6179,12.428937431123284,9.551437431123285,8.771537431123285,7.349037431123286,6.351837431123283,2.8775000000000013,3.657399999999999,5.079899999999999,6.0771000000000015,0.7798999999999978,2.202399999999997,3.1996,1.4224999999999994,2.4197000000000024,0.997200000000003,,0.0365000915527318,,,-0.1449004272460961,R0060076,yes,3.4120535144223997e-17,1.8083883626439001e-16,0.0,1.8528034233122002e-16,0.0,1.5627335921009002e-16,6.6777781317037e-17,1.4592181843353001e-16,1.0634979987528558e-16,3.957201855824651e-17,1.246881005785311e-16,9.420318663890272e-17,1.2618834284056995e-16,1.001012890877193e-16,1.0646328764172635e-16,7.336814673880266e-17
2CXO J002411.0-720444,251,6.046190372545425,-72.07889693582916,0.7164627152339106,0.7152882423023808,81.51677499332021,-44.892727,305.885617,0,0,0,1,0,0,0,0,0,0,0,1,10.141993731980008,1.4468237339534001e-15,6.478353352064503e-16,3.7734939922411006e-16,6.662803678085301e-16,3.506245808423215e+30,1.5699700490876967e+30,9.144719693844672e+29,1.6146699090150398e+30,0.18238600874453,-0.60836976889444,-0.6895690193629,1.0,1.0,0.1809855850684001,6.0460416666666665,-72.07887611111111,0.5,AB,BYDra,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.045069166666666,-72.07887083333333,13.37,4.5,0.04,,,,,,,,,,,,18.833999633789062,,,,,,18.191999435424805,,,,,17.49199867248535,,,,,,,,,,,,5.567937064912346,,,,,,4.9259368665480885,,,,,4.225936103608635,0.7000007629394531,,,0.6420001983642578,,,,,,,,,,,,,,,"WFPC2,1,F336W,cont#51367",,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,,,8267.0,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,130978.0,0.1085605766267269,R0015013,6.046183,-72.078921,19.9583,18.8462,18.9825,18.1935,17.6707,6.692237431123285,5.580137431123283,5.7164374311232855,4.927437431123284,4.404637431123284,1.1121000000000016,0.9757999999999996,1.764800000000001,2.287600000000001,-0.1363000000000021,0.6526999999999994,1.1754999999999995,0.7890000000000015,1.3118000000000016,0.5228000000000002,,-0.0122003662109371,,,-0.1787013275146485,R0015013,yes,1.29947203456e-15,1.5843519867206001e-15,4.7115297105923e-16,8.245176993536601e-16,3.1131325435989004e-16,4.4338554408833e-16,5.794199251752701e-16,7.4735011426624e-16,6.616600607337585e-16,8.398773116482665e-17,3.7734939922411e-16,6.603614486421999e-17,6.478353352064419e-16,1.7668236414721504e-16,1.4389857575564841e-15,1.4247837726992539e-16
2CXO J002408.7-720507,14,6.036562342171919,-72.08546459963402,0.7144623180299957,0.7135493873318591,177.77759313951657,-44.885791,305.888368,0,0,0,0,0,0,0,0,0,0,0,1,7.595501778718156,1.607734705051e-15,7.472271845015e-16,3.2209394876713e-16,7.215974502305801e-16,3.896198920678727e+30,1.8108371615105464e+30,7.805654077137263e+29,1.7487258301510152e+30,-0.45346658338538,-0.75827607745159,-0.44846970643348,0.7034066783243,0.999995894323072,0.1822986923023628,6.036529166666667,-72.085415,0.5,AB,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.035322916666666,-72.08539444444445,13.37,4.5,0.04,,,,,,,,,,18.55,,18.48,,,,,,17.61,,,,,16.72,,,,,,,,,,5.2839374311232845,,5.213937431123284,,,,,,4.343937431123283,,,,,3.4539374311232827,0.8900000000000006,,,0.870000000000001,,,,,,,,,,,,,"WFPC2,1,F300W,cont#51479",,"WFPC2,1,F336W,cont#51367",,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,7503.0,,8267.0,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,9318.0,0.0671872310621161,R0009233,6.036593,-72.08545,19.6328,18.2011,18.2667,17.3701,16.6477,6.366737431123283,4.935037431123284,5.000637431123284,4.104037431123285,3.381637431123284,1.4316999999999993,1.3660999999999994,2.262699999999999,2.985099999999999,-0.0655999999999998,0.8309999999999995,1.5534,0.8965999999999994,1.6189999999999998,0.7224000000000004,,0.2789000000000001,,,0.0722999999999984,R0009233,yes,1.4354080618965e-15,1.7685729053285002e-15,5.3211632835713e-16,9.510164166382701e-16,2.559102606643e-16,3.8827763686997003e-16,6.2735031225205e-16,8.158445882091e-16,7.21597450230572e-16,9.424713797852497e-17,3.22093948767138e-16,6.6183688102835e-17,7.38193835502621e-16,2.0948473446525475e-16,1.5985682538517762e-15,1.6662733160254082e-16
2CXO J002415.6-720441,92,6.065417143152331,-72.0781836051138,0.7269670816452432,0.7215016383916005,146.72537586033852,-44.894313,305.877508,0,1,0,0,0,0,0,0,0,0,0,1,4.709677419354631,5.7020737328287e-16,,2.0682446553835003e-16,2.481544054319e-16,1.3818457394544434e+30,,5.012202926694374e+29,6.013796452660202e+29,-0.11617738913179,-0.52217364147408,-0.40599625234229,0.61925182077969,0.76923764136444,0.1864074533958164,6.065312499999999,-72.07814305555556,0.5,AB,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.064291666666666,-72.07811944444444,13.37,4.5,0.04,,,,,,,,,,,,16.61,,,,,,16.16,,,,,15.88,,,,,,,,,,,,3.3439374311232832,,,,,,2.893937431123284,,,,,2.6139374311232846,0.2799999999999993,,,0.4499999999999993,,,,,,,,,,,,,,,"WFPC2,1,F336W,cont#51367",,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,,,8267.0,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,130041.0,0.0969040235675384,R0015643,6.065422,-72.07816,16.9765,16.5416,17.2656,16.8443,15.9547,3.710437431123285,3.2755374311232828,3.999537431123283,3.5782374311232843,2.688637431123285,0.4349000000000025,-0.2890999999999977,0.1322000000000009,1.0218000000000007,-0.7240000000000002,-0.3027000000000015,0.5868999999999982,0.4212999999999987,1.3108999999999984,0.8895999999999997,,0.0684000000000004,,,-0.0746999999999999,R0015643,yes,4.665333054132601e-16,6.7388144115249e-16,5.649173918928001e-17,2.3403720521273e-16,1.5668520116542002e-16,2.5696372991128003e-16,1.9061135489697002e-16,3.0210101530840003e-16,2.4528486095669503e-16,5.575798237226688e-17,2.0682446553835003e-16,5.013926437293e-17,1.4526447220100202e-16,8.877273301172501e-17,5.70207373282878e-16,1.0367406786961498e-16
2CXO J002404.6-720509,295,6.019536896160389,-72.08592877974492,0.7699998201194915,0.7406264333455862,15.11417049984965,-44.88455,305.895579,0,0,0,0,0,0,0,0,0,0,0,0,3.076923076923317,2.1083392673607e-16,,,1.9810044483785e-16,5.109368574372325e+29,,,4.8007842148230726e+29,-0.43472829481574,-0.99937539038101,-0.99937539038101,,,0.1874802301922256,6.019404166666666,-72.0859611111111,0.5,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,6.019404166666666,-72.0859611111111,13.37,4.5,0.04,,,,,,,,,22.56,,,,,23.63,23.7,,,,,21.9,,21.5,,,,,,,,,,9.293937431123284,,,,,10.363937431123285,10.433937431123285,,,,,8.633937431123282,,8.233937431123284,,,,,,,,0.3999999999999986,,,,,,,,,"WFC3,UVIS1,F300X",,,,,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,,,"ACS,WFC1,F625W",,"ACS,WFC1,F658N",,,,,,,,,,12950.0,,,,,12950.0,9281.0,,,,,9281.0,,9281.0,,,,,,,,,,,,,,,,99439.0,0.0150551082946518,R0099472,6.019481,-72.085973,22.6335,23.2616,24.812,23.9651,21.6169,9.367437431123284,9.995537431123283,11.545937431123283,10.699037431123283,8.350837431123285,-0.6280999999999999,-2.1785,-1.331599999999998,1.0166000000000004,-1.5503999999999998,-0.7034999999999982,1.6447000000000005,0.8469000000000015,3.1951,2.3481999999999985,,,,,,R0099472,yes,1.3665161918079e-16,2.8501623429135e-16,0.0,6.6074693688452e-17,0.0,5.4639169003046e-17,1.4857533362839e-16,2.4762555604731003e-16,1.9810044483785003e-16,4.952511120946001e-17,4.3595749362628896e-17,3.2937052491901356e-17,5.271997795379439e-17,3.9830504272155433e-17,2.1083392673607e-16,7.418230755528e-17
2CXO J002401.4-720441,82,6.005920129726633,-72.07831319525518,0.7195743311819702,0.7157965373217657,36.032168538962594,-44.891452,305.903035,0,0,0,0,0,0,0,0,0,0,0,1,6.3778727417859855,7.774944724003601e-16,,1.0692006461576001e-16,6.190769789480303e-16,1.884187182551281e+30,,2.5911105796625148e+29,1.500276786721381e+30,-0.52217364147408,-0.91442848219863,-0.72454715802623,0.7272317498383,0.3442302895099,0.1878251832870079,6.005841666666666,-72.07826694444444,0.5,MSP,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.005841666666666,-72.07828888888889,13.37,4.5,0.04,,,,,,,,,22.09,21.5,,,,22.51,22.36,,,,,,,,,,,,,,,,,8.823937431123284,8.233937431123284,,,,9.243937431123284,9.093937431123283,,,,,,,,,,,,,,,,,,,,,,,,"WFC3,UVIS1,F300X","WFPC2,1,F300W,cont#51479",,,,"WFC3,UVIS1,F390W","ACS,WFC1,F435W",,,,,,,,,,,,,,,,,12950.0,7503.0,,,,12950.0,9281.0,,,,,,,,,True,J0024-7204Y,J0024-7204Y,47 Tuc,10,0.0021966571435212,-3.5172099999999994e-20,ATNF frk+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,6.6701673766001e-16,8.8060702482469e-16,1.5308000661765998e-17,2.1431200926472002e-16,7.060758984059499e-17,1.4121517968119e-16,5.299992814539e-16,7.022161632758901e-16,6.143387309785385e-16,8.613165536706819e-17,1.0531044444977669e-16,3.5310329421353895e-17,1.1328999927861e-16,9.951683759412554e-17,7.716179071429094e-16,1.0682393508225908e-16
2CXO J002406.8-720512,26,6.028634183764552,-72.08680481800154,0.7133375263819475,0.7118328276002964,10.130296276083952,-44.884102,305.891489,0,0,0,1,0,0,0,0,0,0,0,1,11.817536193937636,2.6025187886004e-15,6.2225093622857e-16,9.275512915024901e-16,1.1050086477968e-15,6.306967725044743e+30,1.5079685836900408e+30,2.2478362440471925e+30,2.677888016823012e+30,-0.55215490318551,-0.6945658963148,-0.2261086820737,0.99948320664936,0.987810120352034,0.1893815987753103,6.028495833333333,-72.08677388888889,0.5,AB,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.02736,-72.08674583333332,13.37,4.5,0.04,,,,,,,,,,,,,,,,,,22.29,,,,,20.34,,,,,,,,,,,,,,,,,,9.023937431123285,,,,,7.073937431123284,1.9499999999999995,,,,,,,,,,,,,,,,,,,,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,,,,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,98756.0,0.0499569463822515,R0098878,6.028616,-72.086799,26.0157,26.1534,23.5184,21.5882,20.3294,12.749637431123285,12.887337431123283,10.252337431123284,8.322137431123284,7.063337431123284,-0.1377000000000023,2.497299999999999,4.427499999999998,5.686299999999999,2.6350000000000016,4.565200000000001,5.824000000000002,1.9301999999999992,3.189,1.2588000000000008,,,,,0.0106000000000001,R0098878,yes,2.3843659131615e-15,2.8206716640393e-15,4.3156113319079006e-16,8.129407392663601e-16,8.0947044195727e-16,1.0456321410477e-15,9.789397833008202e-16,1.2226729213264e-15,1.0983027544248622e-15,1.2189942370256478e-16,9.27551291502482e-16,1.1808084954521497e-16,6.22250936228578e-16,1.90689803037785e-16,2.6025187886004004e-15,2.181528754389e-16
2CXO J002406.4-720430,76,6.026860985568021,-72.0750915162773,0.7187927614813079,0.7174180277370926,43.74310564766358,-44.895602,305.894721,0,0,0,0,0,0,0,0,0,0,0,1,5.750000000000172,7.1345874612073e-16,3.0532082946666e-16,1.686410391809e-16,1.9562652973933e-16,1.729002420518258e+30,7.399172777022306e+29,4.086862296213968e+29,4.740831131105827e+29,0.087445346658338,-0.33978763272954,-0.40724547158026,0.48844897246303,0.41328701589974,0.1896091797996197,6.026854166666666,-72.07503888888888,0.5,AB,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,6.025850833333333,-72.07506083333332,13.37,4.5,0.04,,,,,,,,,,17.93,,17.86,,,,,,17.34,,,,,16.56,,,,,,,,,,4.663937431123284,,4.593937431123283,,,,,,4.073937431123284,,,,,3.2939374311232825,0.7800000000000011,,,0.5199999999999996,,,,,,,,,,,,,"WFPC2,1,F300W,cont#51479",,"WFPC2,1,F336W,cont#51367",,,,,,"WFPC2,1,F555W,cont#51364",,,,,"WFPC2,1,F814W,cont#51364",,,,,,,,,,7503.0,,8267.0,,,,,,8267.0,,,,,8267.0,,,,,,,,,,,,,,,147896.0,0.1422441911935837,R0017999,6.026935,-72.075107,18.8644,17.8205,17.9075,17.1514,16.5564,5.598337431123284,4.554437431123283,4.641437431123283,3.885337431123282,3.290337431123284,1.0439000000000007,0.956900000000001,1.713000000000001,2.308,-0.0869999999999997,0.6691000000000003,1.2640999999999991,0.7561,1.3510999999999989,0.5949999999999989,,0.0395000000000003,,,0.0035999999999987,R0017999,yes,5.897864778694301e-16,8.294014976063201e-16,1.7708608109066e-16,4.3355557784266e-16,1.224007542442e-16,2.1216130735661003e-16,1.4820191646919e-16,2.4305114300948e-16,1.95626529739338e-16,4.7424613270145005e-17,1.6647077980218108e-16,4.488962092038178e-17,3.0532082946666e-16,1.28234748376e-16,7.072914840309031e-16,1.1983577667485814e-16
