name_csc,name_lit,ra_csc,dec_csc,Class,Subclass,ref,Cluster,HST_Counterpart,HUGS_Counterpart,F_b,F_h,F_m,F_s,L_b,L_h,L_m,L_s,P_inter,P_intra,Class,F555W_abs,F625W_abs,F656N_abs,F658N_abs,F555W-F625W,F625W-F658N,F275W_h_abs,F336W_h_abs,F438W_h_abs,F606W_h_abs,F814W_h_abs,F275W-F336W,F336W-F438W,F438W-F606W,F606W-F814W
2CXO J002413.8-720302,117,6.057517626039555,-72.05062113276234,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,7.5357744229471e-15,4.0592606037671e-15,1.6407665301305001e-15,1.9363646857591e-15,1.826226434057942e+31,9.837249101772268e+30,3.976248546290755e+30,4.692603807700777e+30,0.47609229486063,0.8785156276082,none,,,,,,,,,,,,,,,
2CXO J002331.4-720515,350,5.881216899917376,-72.08763534683978,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.1074390807239002e-16,0.0,4.9562468220683e-17,1.2335878021028e-16,2.683777950104665e+29,0.0,1.2011013669165847e+29,2.989487909924112e+29,,,none,,,,,,,,,,,,,,,
2CXO J002406.0-720346,168,6.0250969192882735,-72.06285121325146,AB?,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.772078528641e-15,3.0186642060409e-16,5.8032348612025e-16,8.221559359436e-16,4.294471238916245e+30,7.315458318165106e+29,1.406361219399385e+30,1.992420179889971e+30,0.85460469355987,0.81619841926402,AB?,,,,,,,,,,,,,,,
2CXO J002410.7-720425,8,6.044858544743192,-72.07382265490793,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,2.7163333126346e-14,2.5291411795051e-14,2.4506686328332e-15,1.0959259767725e-15,6.582786878731263e+31,6.129143759149807e+31,5.938972675148565e+30,2.655876989176112e+30,0.93372348310388,0.9999213492046573,CV,8.453937431123283,8.653937431123286,,7.483937431123284,-0.2000000000000028,1.1700000000000017,7.492137431123282,8.136437431123284,9.250337431123285,8.589237431123284,7.676937431123285,-0.6443000000000012,-1.113900000000001,0.6611000000000011,0.9122999999999984
2CXO J002403.7-720522,78,6.015396900206781,-72.08959393752352,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,4.4303961998432e-16,1.0874047941271e-16,7.9475315311293e-17,3.3587728826603003e-16,1.073666248403877e+30,2.6352266775783035e+29,1.926012026509303e+29,8.139680781358087e+29,0.47357985945121,0.4375872979735999,none,,,,,,,,,,,,,,,
2CXO J002411.5-720224,118,6.048027562391383,-72.0401234773256,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,4.7682336825034e-15,2.5749114043886e-15,1.0411457604514e-15,1.2545398472856001e-15,1.1555380915114584e+31,6.2400637388144e+30,2.523122114236688e+30,3.040263286962855e+30,0.68151461789223,0.987687511203742,none,,,,,,,,,,,,,,,
2CXO J002359.3-720459,316,5.997476668320417,-72.08305695727339,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.2563453998432e-16,8.4162044494545e-17,5.9693862209114e-17,8.8526561457477e-17,3.044638879468291e+29,2.0395906482056027e+29,1.4466264911717311e+29,2.1453607496211856e+29,,,none,,,,,,,,,,,,,,,
2CXO J002419.3-720334,114,6.080680459918426,-72.05967080217856,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.0104408437694e-14,6.1779781571449e-15,2.1380883359123e-15,2.7509845078021e-15,2.4487115396188167e+31,1.4971768508960037e+31,5.181462737929157e+30,6.666760900556935e+30,0.71855044228408,1.0,none,,,,,,,,,,,,,,,
2CXO J002403.7-720423,45,6.015687915442527,-72.07307154650873,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,2.9886140855902e-14,1.7439196997717e-14,6.3015553294925e-15,7.0630121880869e-15,7.242634582695285e+31,4.226230876682686e+31,1.5271246553446225e+31,1.711656803669728e+31,1.0,1.0,CV,8.643937431123284,8.123937431123284,,7.023937431123283,0.5199999999999996,1.1000000000000014,6.768637431123285,7.5496374311232834,8.757837431123285,7.387837431123284,6.557737431123282,-0.7809999999999988,-1.2082000000000015,1.370000000000001,0.8301000000000016
2CXO J002359.4-720438,85,5.997512392766396,-72.07739423055185,MSP?,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,5.013964046240701e-16,0.0,8.834369450332098e-17,4.1807362775396006e-16,1.2150886115669976e+30,0.0,2.1409291352063696e+29,1.0131634355479984e+30,0.50466275770639,0.24441075563934,MSP?,,10.133937431123282,,10.433937431123285,,-0.3000000000000007,9.216337431123282,9.370637431123283,10.110037431123285,9.443037431123283,9.375437431123284,-0.1543000000000027,-0.7393999999999998,0.6670000000000016,0.0675999999999987
2CXO J002422.5-720423,219,6.09397923100903,-72.07328444003673,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,4.074601516382e-16,0.0,1.4826190659921e-16,2.9061703181759003e-16,9.874426409063464e+29,0.0,3.5929925419585195e+29,7.042839606193802e+29,0.99986253200779,0.986650390599414,none,,,,,,,,,,,,,,,
2CXO J002359.4-720358,63,5.997605842065866,-72.06634487575788,Spider,UL,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,2.9144193607294e-15,1.8678757918391e-15,3.8217718760612e-16,8.9020905655791e-16,7.062830411015398e+30,4.526627198667436e+30,9.261716757005387e+29,2.1573407319271203e+30,0.60276919540405,0.7286611621952199,Spider,,,,,,,,,,,,,,,
2CXO J002400.9-720414,354,6.004034075237769,-72.07056395905865,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.9296395589025003e-16,0.0,1.115681059511e-16,4.552045369359801e-16,4.676306074052438e+29,0.0,2.7037516365304592e+29,1.1031468188912204e+30,0.48430319894046,0.2643209697243199,none,,,,,,,,,,,,,,,
2CXO J002408.3-720435,16,6.034547125295205,-72.0766327512346,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,7.855082295789101e-15,5.2982752528195e-15,1.2969266184424e-15,1.545733784474e-15,1.903607794653237e+31,1.2839888481998845e+31,3.1429837740639544e+30,3.7459453253098747e+30,0.85857877286122,1.0,CV,,,,,,,8.911937431123285,8.412537431123283,8.698837431123284,7.626437431123282,6.628637431123284,0.4994000000000014,-0.2863000000000006,1.0724000000000018,0.997799999999998
2CXO J002412.1-720455,196,6.050575152491547,-72.08197976056553,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,6.652000038922501e-16,6.3381244324782e-16,1.1940727622329e-16,9.4791122761643e-17,1.612051745264935e+30,1.5359868450538724e+30,2.893726802567288e+29,2.297176698578032e+29,0.84618444680244,0.0894688121442299,none,,,,,,,,,,,,,,,
2CXO J002407.8-720441,23,6.032544841814513,-72.0782285535005,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,1.7686757057433e-14,8.8087752122595e-15,5.7223583052198e-15,3.9077663720849e-15,4.286224806927418e+31,2.134726604251432e+31,1.3867615211943249e+31,9.470116601543932e+30,0.99999997208777,0.999999997081606,CV,4.813937431123282,7.203937431123283,,6.843937431123283,-2.390000000000001,0.3599999999999994,10.057637431123284,8.309137431123283,8.910237431123285,7.488237431123284,6.487837431123285,1.7485,-0.6011000000000024,1.4220000000000006,1.000399999999999
2CXO J002428.4-720601,214,6.118477038252649,-72.10042955974208,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,3.1076323607497e-16,2.2796197764577e-16,8.2484135829862e-17,3.976506544238001e-17,7.531064554232648e+29,5.524451319417544e+29,1.9989280568726125e+29,9.63670216053495e+28,0.48326512249244,0.8157652971043701,none,,,,,,,,,,,,,,,
2CXO J002401.6-720257,143,6.007010172109858,-72.04939559420697,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.8044838237958e-15,5.4587673001885e-16,6.756686702374601e-16,6.575190353627201e-16,4.373002526204966e+30,1.322882637067668e+30,1.63742160659032e+30,1.5934376162046475e+30,0.47196032419905,0.996381059234411,none,,,,,,,,,,,,,,,
2CXO J002416.9-720427,1,6.070793083731246,-72.07422263936837,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,3.6967456063855e-14,2.2321301878915e-14,7.1804142147424e-15,6.6865679102187e-15,8.958726956862025e+31,5.409364618151593e+31,1.7401081176896085e+31,1.6204289546646749e+31,0.79298581857126,1.0,CV,7.103937431123285,6.723937431123282,,6.0439374311232825,0.3800000000000025,0.6799999999999997,9.458337431123285,9.998037431123285,7.016437431123283,6.693137431123283,6.375837431123284,-0.5396999999999998,2.9816000000000003,0.3232999999999997,0.3172999999999994
2CXO J002358.9-720509,86,5.995522815282129,-72.08604530821142,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.867956917914e-16,0.0,4.5574441614808e-17,8.887092430397001e-17,4.526823800335902e+29,0.0,1.1044551670887634e+29,2.1537060701931223e+29,,0.2432607415333499,none,,,,,,,,,,,,,,,
2CXO J002404.2-720420,142,6.017684506790204,-72.07229379751182,MSP?,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,8.0544232455383e-16,4.330443571482e-16,1.7800118830436002e-16,2.3295894815239e-16,1.9519162618910128e+30,1.0494436374521808e+30,4.3136970021989946e+29,5.6455483575880206e+29,0.62560984097349,0.04369441828632,MSP?,,,,,,,,,,,,,,,
2CXO J002359.9-720532,101,5.999972671950957,-72.09221939909158,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,4.0385092251014e-16,0.0,4.9575693415818e-17,4.0124086243655e-16,9.786960021797888e+29,0.0,1.2014218674994786e+29,9.723707588360462e+29,0.77665421188517,0.60865313396322,none,,,,,,,,,,,,,,,
